"Date","Temper- ature, water, deg C,(Maximum)","Temper- ature, water, deg C,(Minimum)","Temper- ature, water, deg C,(Mean)","Specif-   icconduc- tance,wat unfuS/cm @25 degC,(Maximum)","Specif-   icconduc- tance,wat unfuS/cm @25 degC,(Minimum)","Specif-   icconduc- tance,wat unfuS/cm @25 degC,(Mean)","pH, water,unfltrd field,  std units,(Maximum)","pH, water,unfltrd field,  std units,(Minimum)","pH, water,unfltrd field,  std units,(Median)","Dis- solvedoxygen,  mg/L,(Maximum)","Dis- solvedoxygen,  mg/L,(Minimum)","Dis- solvedoxygen,  mg/L,(Mean)","Turbid-  ity, IR LED light,det ang90 deg,  FNU,(Mean)","Turbid-  ity, IR LED light,det ang90 deg,  FNU,(Minimum)","Turbid-  ity, IR LED light,det ang90 deg,  FNU,(Maximum)"
" (i)"," (i)"," (i)"," (i)"," (i)"," (i)"," (i)"," (i)"," (i)"," (i)"," (i)"," (i)"," (i)"," (i)"," (i)"," (i)"
"01/01/2022","21.7A","21.0A","21.3A","371A","369A","370A","8.1A","7.9A","8.0A","8.4A","8.0A","8.1A","15.7A","14.0A","17.5A"
"01/02/2022","21.4A","18.1A","19.9A","378A","368A","371A","8.1A","8.0A","8.0A","8.7A","8.0A","8.3A","17.6A","14.6A","19.8A"
"01/03/2022","18.5A","16.8A","17.6A","374A","370A","372A","8.1A","8.0A","8.0A","9.0A","8.6A","8.7A","15.8A","13.9A","17.4A"
"01/04/2022","17.2A","16.0A","16.5A","376A","372A","374A","8.1A","8.0A","8.0A","9.3A","8.7A","9.0A","15.3A","13.6A","16.4A"
"01/05/2022","16.3A","15.6A","16.0A","378A","374A","376A","8.0A","8.0A","8.0A","9.5A","8.9A","9.2A","14.4A","13.0A","16.0A"
"01/06/2022","16.1A","15.6A","15.8A","378A","375A","377A","8.0A","7.9A","8.0A","9.4A","9.1A","9.3A","13.5A","11.8A","15.4A"
"01/07/2022","15.7A","14.7A","15.0A","378A","377A","377A","8.0A","7.9A","8.0A","9.5A","9.2A","9.4A","13.3A","12.5A","16.7A"
"01/08/2022","15.6A","14.5A","14.9A","378A","367A","375A","8.0A","7.9A","8.0A","9.5A","9.4A","9.4A","13.2A","11.1A","16.3A"
"01/09/2022","16.4A","15.6A","16.0A","367A","347A","360A","8.0A","7.9A","7.9A","9.4A","9.0A","9.3A","17.7A","13.3A","24.3A"
"01/10/2022","16.3A","15.9A","16.1A","352A","251A","315A","7.9A","7.8A","7.9A","9.0A","8.6A","8.8A","54.1A","21.5A","126A"
"01/11/2022","16.2A","15.6A","15.8A","260A","209A","235A","7.8A","7.6A","7.7A","8.6A","8.4A","8.5A","87.5A","66.0A","126A"
"01/12/2022","15.7P","15.2P","15.4P","217P","194P","202P","7.6P","7.4P","7.5P","8.5P","8.3P","8.4P","66.2P","55.5P","80.6P"
